#pose_pure,x;pose_pure,y;pose_pure,z;pose_pure,yaw;pose_pure,pitch;pose_pure,roll;imu_pure,dtheta;imu_pure,dphi;imu_pure,dpsi;loch_doppler_pure,vx;loch_doppler_pure,vy;loch_doppler_pure,vz;imu_pure,ddx;imu_pure,ddy;imu_pure,ddz;Transponder,002;Transponder,005;pose_noisy,x;pose_noisy,y;pose_noisy,z;pose_noisy,yaw;pose_noisy,pitch;pose_noisy,roll;imu_noisy,dtheta;imu_noisy,dphi;imu_noisy,dpsi;loch_doppler_noisy,vx;loch_doppler_noisy,vy;loch_doppler_noisy,vz;imu_noisy,ddx;imu_noisy,ddy;imu_noisy,ddz;Transponder,002;Transponder,005
4,116666794;0;0;0;0;0;0;0;0;3,500003576;0;0;1,999998093;0;9,81000042;118,2500752;349,0486312;4,385972052;0,004701558;0,207278591;-0,000554595;-0,000444913;0,000508818;-0,000452987;0,000126614;0,000460882;3,500003576;0;0;2,104795933;-0,041955691;9,630903244;118,2500752;349,0486312
4,476666451;0;0;0;0;0;0;0;0;3,799981833;0;0;2,999782562;0;9,81000042;118,6035998;348,8673681;4,320454513;-0,025536923;-0,174879028;-0,000355254;0,000343381;0,000492029;0,000356081;-2,08E-05;6,85E-05;3,900003195;0;0;3,112018347;0,025516368;9,821630478;118,6035998;348,8673681
4,873333454;0;0;0;0;0;0;0;0;3,999995947;0;0;2,000141144;0;9,81000042;118,9931765;348,6679644;4,909879717;0,051621096;-0,16760757;7,03E-05;-0,000185285;-0,000211077;-3,57E-05;0,000104664;0,000137345;3,999995947;0;0;2,169113874;-0,018419018;9,794169426;118,9931765;348,6679644
4,873333454;0;0;0;0;0;0;0;0;3,999995947;0;0;2,000141144;0;9,81000042;118,9931765;348,6679644;5,48711853;-0,124184042;0,023486397;0,000486472;-9,24E-05;0,000284179;9,93E-05;4,59E-05;-0,000106824;4,000024319;0;0;0,038859203;-0,08917021;9,757531166;119,3860742;348,4672266
5,673333168;0;0;0;0;0;0;0;0;3,999995947;0;0;-0,000283718;0;9,81000042;119,7790189;348,2668326;5,509301008;-0,030945115;0,300241349;-0,000228698;0,000317219;0,00047992;0,000139336;-2,26E-05;-0,000303353;3,999995947;0;0;0,012403904;-0,017538136;9,804831505;119,7790189;348,2668326
6,073333263;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;120,1720102;348,0667829;6,25327675;-0,187806723;-0,069279621;-0,00032953;-0,000277423;0,000176342;6,03E-05;-0,000237873;0,000158354;4,000024319;0;0;-0,126720279;0,029027849;9,812342644;120,1720102;348,0667829
6,473333359;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;120,5650476;347,8670781;6,901411448;-0,075674991;-0,083708674;-0,000555716;-0,000244522;-0,000147054;0,00017966;-0,000181506;0,000109324;3,999995947;0;0;0,083209231;0,08184737;9,6992836;120,5650476;347,8670781
6,873333454;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;120,9581307;347,6677188;6,917341666;0,056648144;-0,229522438;-0,000114909;0,000154369;-0,000349111;-2,17E-05;0,000180908;0,000110344;3,999995947;0;0;0,074725121;0,046895284;9,91694355;120,9581307;347,6677188
7,273333549;0;0;0;0;0;0;0;0;4,000024319;0;0;0,000283718;0;9,81000042;121,3512589;347,4687056;7,185652865;-0,119281531;-0,086727664;0,00052855;-0,000455114;0,000140382;7,54E-05;-7,90E-06;5,67E-05;3,999995947;0;0;-0,116947472;0,099485956;9,686805725;121,3512589;347,4687056
7,673333168;0;0;0;0;0;0;0;0;3,999995947;0;0;-0,000283718;0;9,81000042;121,744432;347,2700391;7,624304093;0,167314719;0,087061587;0,000405595;3,28E-05;-0,000235754;-0,000267886;-1,25E-05;6,44E-05;3,999995947;0;0;0,115111887;0,073202208;9,945949554;121,744432;347,2700391
8,07333374;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;122,1376493;347,0717198;8,057621248;-0,402990783;0,011824033;-0,000187338;-0,000141866;-3,10E-05;-0,000220613;0,000132677;0,000139153;3,999995947;0;0;0,127588272;0,124940358;9,743188858;122,1376493;347,0717198
8,473333359;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;122,5309106;346,8737485;8,338445909;0,132834372;-0,175175282;9,94E-05;0,000109431;0,000288709;-0,00014095;-6,84E-05;-2,36E-05;3,999995947;0;0;-0,008016894;-0,109877087;9,896165848;122,5309106;346,8737485
8,873332977;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;122,9242153;346,6761256;9,021603759;0,097048752;-0,207409001;0,000175743;7,85E-05;0,000281895;5,28E-05;0,000226999;9,33E-05;4,000052929;0;0;0,134195849;0,080960795;9,812362671;122,9242153;346,6761256
9,273333549;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;123,3175631;346,4788518;9,096207678;-0,044850706;-0,051083134;-6,16E-05;-0,000332518;-0,000169185;5,54E-05;0,000162613;6,73E-06;3,999995947;0;0;0,014869058;0,150339782;9,913255692;123,3175631;346,4788518
9,673333168;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;123,7109536;346,2819276;9,754969412;-0,158598894;-0,190646093;-0,000583701;-0,000223344;-4,78E-05;0,000134127;0,000116934;5,27E-05;3,999995947;0;0;0,18261978;-0,044474825;9,625757217;123,7109536;346,2819276
10,07333374;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;124,1043863;346,0853537;10,11741764;0,157592043;-0,163790232;-6,23E-05;-1,82E-05;-4,09E-06;6,41E-05;-7,73E-05;0,000146944;3,999995947;0;0;0,004512504;-0,00769159;9,855971336;124,1043863;346,0853537
10,47333336;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;124,4978609;345,8891307;10,3888618;0,050649008;-0,014778816;-0,00032054;0,000474337;-0,000337904;3,89E-05;-0,000111761;-0,000131153;3,999995947;0;0;0,057078324;-0,036511566;9,840196609;124,4978609;345,8891307
