#pose_pure,x;pose_pure,y;pose_pure,z;pose_pure,yaw;pose_pure,pitch;pose_pure,roll;imu_pure,dtheta;imu_pure,dphi;imu_pure,dpsi;loch_doppler_pure,vx;loch_doppler_pure,vy;loch_doppler_pure,vz;imu_pure,ddx;imu_pure,ddy;imu_pure,ddz;Transponder;Transponder,003;Transponder,005;Transponder,006;pose_noisy,x;pose_noisy,y;pose_noisy,z;pose_noisy,yaw;pose_noisy,pitch;pose_noisy,roll;imu_noisy,dtheta;imu_noisy,dphi;imu_noisy,dpsi;loch_doppler_noisy,vx;loch_doppler_noisy,vy;loch_doppler_noisy,vz;imu_noisy,ddx;imu_noisy,ddy;imu_noisy,ddz;Transponder;Transponder,003;Transponder,005;Transponder,006
3,943333387;0;0;0;0;0;0;0;0;2,700004339;0;0;3,000068665;0;9,81000042;205,4228563;175,9622589;349,1360048;128,9602647;3,913406955;-0,062833685;0,115910124;-0,00020052;4,28E-05;0,000503557;-6,30E-05;-0,000242805;0,00012912;2,899989843;0;0;3,176109552;-0,031946853;9,927961349;205,6340211;176,0088084;348,9940553;128,7724762
4,224999905;0;0;0;0;0;0;0;0;3,19999671;0;0;1,999855042;0;9,81000042;205,8653713;176,0602675;348,8388612;128,5673019;4,629285805;-0,008971548;0,129351494;-0,000188252;-1,82E-05;0,000356628;9,76E-05;7,18E-06;-7,25E-05;3,19999671;0;0;2,970313787;-0,152746156;9,899542809;205,8653713;176,0602675;348,8388612;128,5673019
4,871666431;0;0;0;0;0;0;0;0;3,499974966;0;0;2,999782562;0;9,81000042;206,1194633;176,1173372;348,6688015;128,3426396;5,010691821;0,012795101;0,012237886;-0,000368377;-3,86E-05;0,000790129;7,37E-05;0,000245032;-0,000151084;3,500003576;0;0;2,902451038;-0,047357161;9,770910263;206,1194633;176,1173372;348,6688015;128,3426396
5,221666813;0;0;0;0;0;0;0;0;3,500003576;0;0;0,000286102;0;9,81000042;206,3825715;176,1770392;348,4931359;128,110756;5,145720052;0,13766688;0,086447802;-7,25E-05;-0,000617388;-0,000478146;0,000188917;-6,10E-06;-0,000353361;3,499974966;0;0;-0,227953404;-0,145216346;9,79898262;206,3825715;176,1770392;348,4931359;128,110756
5,571666718;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;206,6459375;176,237416;348,3177335;127,8794099;5,900164696;-0,129837444;0,12260024;-8,51E-05;-0,000177303;0,000332398;0,000101801;4,99E-06;0,000176783;3,500003576;0;0;-0,030773323;0,018193631;9,773324013;206,6459375;176,237416;348,3177335;127,8794099
5,921666622;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;206,9095603;176,298467;348,1425945;127,6486041;5,910525845;-0,179834151;0,060458329;-0,000184853;-0,000684211;-0,000322982;2,63E-05;0,00017221;8,65E-06;3,500003576;0;0;0,103809044;0,179885656;9,689415932;206,9095603;176,298467;348,1425945;127,6486041
6,271666527;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;207,1734389;176,3601915;347,9677195;127,4183417;6,065727957;-0,098706495;0,001414942;0,000509606;-0,000476335;0,00033424;3,71E-05;0,000326774;0,000127127;3,500003576;0;0;-0,026103204;-0,024225984;9,919716835;207,1734389;176,3601915;347,9677195;127,4183417
6,621666431;0;0;0;0;0;0;0;0;3,499974966;0;0;-0,000286102;0;9,81000042;207,4375725;176,4225887;347,7931087;127,1886256;6,788556506;-0,158381114;0,097246565;1,14E-05;-0,000425974;-0,000350866;-6,03E-06;-0,000219979;-0,000184274;3,500003576;0;0;-0,051618777;-0,100590318;9,838984489;207,4375725;176,4225887;347,7931087;127,1886256
6,971666813;0;0;0;0;0;0;0;0;3,500003576;0;0;0,000286102;0;9,81000042;207,7019599;176,485658;347,6187626;126,9594586;6,832164533;0,222973402;0,044825719;-9,53E-05;-0,000444706;2,82E-05;5,75E-05;-0,000264338;0,000126894;3,500003576;0;0;0,237318382;-0,037191018;9,680124283;207,7019599;176,485658;347,6187626;126,9594586
7,321666718;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;207,9666002;176,5493986;347,4446816;126,7308439;7,304988626;-0,209106299;0,094539074;-0,000144796;-0,000210842;-0,000382456;4,24E-05;-0,000158913;-2,01E-05;3,500003576;0;0;-0,154841676;0,073821314;9,888284683;207,9666002;176,5493986;347,4446816;126,7308439
7,671666622;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;208,2314925;176,6138098;347,2708661;126,5027844;7,856625393;0,043940611;-0,107030626;-0,000427118;-6,48E-05;-0,00031706;-2,74E-05;2,07E-05;0,00027402;3,500003576;0;0;-0,024908746;0,027040266;9,793728828;208,2314925;176,6138098;347,2708661;126,5027844
8,021666527;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;208,4966358;176,6788908;347,0973165;126,2752832;7,764965411;-0,020439271;0,059520095;-0,00024905;-0,000449118;-7,88E-05;-0,000123393;-9,43E-06;0,000196409;3,500003576;0;0;-0,078967012;0,009313871;9,877587318;208,4966358;176,6788908;347,0973165;126,2752832
8,371666908;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;208,7620291;176,744641;346,9240332;126,0483431;8,237887964;-0,215536486;0,021875075;-0,000473495;-0,000144283;0,000238483;0,00010804;0,000226364;-0,000146814;3,500003576;0;0;-0,064389564;-0,085495122;9,890746117;208,7620291;176,744641;346,9240332;126,0483431
8,721666336;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;209,0276715;176,8110596;346,7510165;125,8219674;8,851449174;0,063012163;0,285559985;-0,000410607;4,48E-05;6,48E-05;-0,000220913;0,000276137;3,70E-05;3,500003576;0;0;0,162765428;0,054348376;9,900378227;209,0276715;176,8110596;346,7510165;125,8219674
9,071666718;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;209,2935621;176,8781458;346,578267;125,5961589;9,260341104;0,076796423;0,151698476;-3,82E-05;9,20E-05;-0,00014728;0,000112414;-0,00020914;-3,69E-05;3,500003576;0;0;-0,086672418;-0,071029261;9,716616631;209,2935621;176,8781458;346,578267;125,5961589
9,421667099;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;209,5596999;176,9458989;346,4057849;125,3709209;9,423473201;0,160151842;0,126251374;-0,000279761;-0,000476362;1,53E-05;-0,000133015;-0,000204672;-0,000156845;3,500003576;0;0;0,188478038;0,014799035;9,687452316;209,5596999;176,9458989;346,4057849;125,3709209
9,771666527;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;209,8260839;177,0143181;346,2335707;125,1462563;9,6242283;-0,000983726;0,299977513;0,000602048;-0,000255121;0,00024734;4,07E-05;-0,000256193;2,90E-05;3,500003576;0;0;-0,000117161;-0,031306479;9,666304588;209,8260839;177,0143181;346,2335707;125,1462563
10,12166691;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;210,0927132;177,0834026;346,0616248;124,9221683;10,02573593;-0,03735385;-0,129010811;-0,000500323;7,37E-05;0,000216518;-0,000199843;-7,18E-05;8,13E-05;3,500003576;0;0;0,099091113;0,016241338;9,771098137;210,0927132;177,0834026;346,0616248;124,9221683
10,47166634;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;210,3595869;177,1531516;345,8899475;124,69866;10,68809938;0,134949895;-0,045333205;-0,000604321;0,001088074;-0,000127626;1,19E-05;5,37E-05;-5,52E-05;3,500003576;0;0;0,013383686;-0,110534713;9,631878853;210,3595869;177,1531516;345,8899475;124,69866
10,82166672;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;210,6267041;177,2235645;345,7185394;124,4757345;10,72048474;-0,041758754;-0,097359263;3,40E-05;-0,000537166;8,23E-05;-3,03E-05;5,94E-07;-0,000113164;3,500003576;0;0;0,188247934;0,078183934;9,836137772;210,6267041;177,2235645;345,7185394;124,4757345
11,1716671;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;210,8940638;177,2946403;345,5474007;124,2533949;10,96358099;-0,096404568;-0,153333582;0,000378132;1,34E-05;-0,000323239;-9,91E-05;-0,000250348;-7,97E-05;3,499946356;0;0;0,020193707;-0,095561281;9,891875267;210,8940638;177,2946403;345,5474007;124,2533949
11,52166653;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;211,1616651;177,3663783;345,3765319;124,0316444;11,48222563;0,119401805;0,155136615;0,000132183;5,32E-05;-1,15E-05;-8,81E-05;0,000157813;-6,40E-05;3,500003576;0;0;-0,105908617;0,046232644;9,840135574;211,1616651;177,3663783;345,3765319;124,0316444
11,87166691;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;211,4295071;177,4387776;345,2059334;123,8104861;11,66180062;0,031835917;0,119482401;0,000739369;5,00E-05;0,000218662;-8,08E-05;-0,000277471;0,00025934;3,500003576;0;0;-0,146701068;-0,118611358;9,692254066;211,4295071;177,4387776;345,2059334;123,8104861
12,22166634;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;211,6975889;177,5118375;345,0356056;123,5899233;12,09695731;-0,203036543;-0,003060148;3,65E-05;-0,00027301;0,000213185;-6,47E-05;8,46E-05;0,000272589;3,500003576;0;0;-0,022911364;0,115303151;9,7351408;211,6975889;177,5118375;345,0356056;123,5899233
12,57166672;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;211,9659095;177,5855572;344,8655489;123,3699591;12,44965679;-0,011725433;0,350264006;0,000301997;0,000453942;-2,67E-05;-5,97E-05;-0,000190224;8,97E-05;3,500003576;0;0;-0,175470844;-0,076656021;9,811783791;211,9659095;177,5855572;344,8655489;123,3699591
12,9216671;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;212,2344681;177,6599358;344,6957636;123,1505967;13,07540643;0,149339276;0,275304383;0,000280051;-0,000121611;-0,000402833;1,92E-05;-0,000204293;0,000416838;3,500003576;0;0;0,050472602;-0,119256556;9,799118042;212,2344681;177,6599358;344,6957636;123,1505967
13,27166653;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;212,5032638;177,7349726;344,5262503;122,9318394;13,41656736;0,253413029;-0,080923537;0,000537038;0,000137038;-0,000267828;-0,000170341;-9,53E-05;0,000196777;3,500003576;0;0;-0,105818838;-0,02472375;9,929891586;212,5032638;177,7349726;344,5262503;122,9318394
13,61666679;0;0;0;0;0;0;0;0;3,399982214;0;0;-1,000213623;0;9,81000042;212,7684507;177,8095806;344,359425;122,7168025;13,39662258;0,174269034;-0,247148103;-0,000223283;0,000300842;7,99E-05;0,000175641;0,000138998;-0,000112318;3,399982214;0;0;-0,995410919;0,091810159;9,6766119;212,7684507;177,8095806;344,359425;122,7168025
13,95666695;0;0;0;0;0;0;0;0;3,400039434;0;0;0,000572205;0;9,81000042;213,0300179;177,8837313;344,1952768;122,5054633;14,10086482;-0,143036532;0,249402215;0,000427149;-9,17E-05;-0,000251487;4,88E-05;-8,04E-06;-5,90E-05;3,400039434;0;0;0,082017802;0,162105277;9,768555641;213,0300179;177,8837313;344,1952768;122,5054633
14,2966671;0;0;0;0;0;0;0;0;3,400039434;0;0;0;0;9,81000042;213,2918064;177,9585008;344,0313862;122,2947042;14,2675749;0,139602076;0,061281691;0,000420362;-6,72E-05;7,68E-05;-0,000244936;1,13E-05;0,000349242;3,400039434;0;0;-0,156256855;0,021614065;9,676278114;213,2918064;177,9585008;344,0313862;122,2947042
14,6366663;0;0;0;0;0;0;0;0;3,399982214;0;0;-0,000572205;0;9,81000042;213,5538153;178,0338882;343,8677537;122,0845281;14,80994572;0,202743875;-0,200029976;0,000156067;-0,000185082;3,16E-05;-0,000187425;-0,000200792;-0,000127612;3,399982214;0;0;-0,02744321;-0,012689753;9,915257454;213,5538153;178,0338882;343,8677537;122,0845281
14,97666645;0;0;0;0;0;0;0;0;3,399982214;0;0;0;0;9,81000042;213,8160437;178,1098927;343,7043796;121,8749381;15,10441154;-0,110031353;-0,129071199;0,000123271;0,000140482;-0,000204731;-7,60E-05;0,00018462;0,000163013;3,399982214;0;0;0,04377773;0,155345485;9,674257278;213,8160437;178,1098927;343,7043796;121,8749381
15,3166666;0;0;0;0;0;0;0;0;3,399982214;0;0;0;0;9,81000042;214,0784909;178,1865136;343,5412643;121,6659372;15,34078292;0,02948007;0,107887798;0,000358578;-5,71E-05;-0,000310282;-5,06E-05;-0,000336717;-0,000210436;3,399982214;0;0;-0,059614945;-0,015397217;9,750780106;214,0784909;178,1865136;343,5412643;121,6659372
15,65666676;0;0;0;0;0;0;0;0;3,399982214;0;0;0;0;9,81000042;214,3411561;178,2637499;343,3784082;121,4575284;15,50114689;-0,015462346;0,276220243;0,00023695;0,000282533;0,000332579;-0,000201787;9,67E-05;-0,000195097;3,399982214;0;0;-0,241862208;-0,1045307;9,653208733;214,3411561;178,2637499;343,3784082;121,4575284
15,99666691;0;0;0;0;0;0;0;0;3,400039434;0;0;0,000572205;0;9,81000042;214,6040385;178,3416011;343,2158116;121,2497148;15,99939658;0,202601658;-0,063874257;0,000242489;-9,46E-05;-0,000110007;5,85E-05;7,00E-06;6,69E-05;3,400039434;0;0;0,06918975;0,146805674;9,612260818;214,6040385;178,3416011;343,2158116;121,2497148
16,33666611;0;0;0;0;0;0;0;0;3,399924994;0;0;-0,001144409;0;9,81000042;214,8671373;178,4200662;343,053475;121,0424995;15,98224132;-0,049213242;-0,075190633;0,000702212;-0,000181503;0,000124479;-0,000204392;-7,77E-05;-0,0001355;3,400039434;0;0;-0,062054571;-0,061076865;9,902431488;214,8671373;178,4200662;343,053475;121,0424995
